,Video File,Cluster -1,Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Cluster 13,Cluster 14,Cluster 15,Cluster 16,Cluster 17,Cluster 18,Cluster 19,Cluster 20,Cluster 21,Cluster 22,Cluster 23,Cluster 24,Cluster 25,Cluster 26,Cluster 27,Cluster 28,Cluster 29,Cluster 30,Cluster 31,Cluster 32,Cluster 33,Cluster 34,Cluster 35,Cluster 36,Cluster 37,Cluster 38,Cluster 39,Cluster 40,Cluster 41,Cluster 42,Cluster 43,Cluster 44,Cluster 45,Cluster 46,Cluster 47,Cluster 48,Cluster 49,Cluster 50,Cluster 51,Cluster 52,Cluster 53,Cluster 54,Cluster 55,Cluster 56,Cluster 57,Cluster 58,Cluster 59,Cluster 60,Cluster 61,Cluster 62,Cluster 63,Cluster 64,Cluster 65
10,13RGmajfd_antmovie200927225925,0.4097119763936109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0983385720700494,0.0,0.0,0.13554429405349927,0.0,0.0,0.0,0.0,0.0,0.007376996600166785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035602027070370133,0.0,0.0,0.0,0.0,0.0,0.0,0.01292578099942267,0.017319905061261145,0.0,0.0023093206748348192,0.0,0.0,0.0,0.0,0.0,0.011674898967220475,0.0,0.009429726088908847,0.0,0.0028866508435435242,0.0,0.0,0.09933286291615882,0.0,0.0,0.0,0.186926679068574,0.0026621335557123612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,newant_antmovie200924212211,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,03BPmajfd_antmovie200929202854,0.3556241426611797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0775034293552812,0.0,0.0,0.14111796982167352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018861454046639231,0.0,0.0,0.0,0.0,0.0,0.0,0.1380315500685871,0.0,0.0,0.0,0.05761316872427984,0.2282235939643347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,05BOmajfd_antmovie200929205417,0.3078506725226462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1377298929453747,0.0,0.0,0.16737578918473786,0.0,0.0,0.0,0.0,0.0,0.005146856986000549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032253637112270106,0.0,0.0,0.0,0.0,0.0,0.0001372495196266813,0.0,0.0,0.0,0.001372495196266813,0.0,0.0,0.10211364260225089,0.0,0.0,0.0,0.061281910513313206,0.21376612681855614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,07YTminfr_antmovie200928210913,0.9161315280464216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011760154738878143,0.0,0.0,0.02483558994197292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002553191489361702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019032882011605416,0.0,0.0,0.0,0.0015473887814313346,0.02413926499032882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,09OOminfr_antmovie200927212511,0.9468078480224229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00853316723762068,0.0,0.0,0.018312052320149486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006353161009031455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029274369355341014,0.0,0.0,0.0,0.00990345686701962,0.0071628776082217375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,03WPmajfd_antmovie201010201128,0.5345141332039306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08231226495208055,0.0,0.0,0.09025840106757249,0.0,0.0,0.0,0.0,0.0,0.0018197258279752516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00934125925027296,0.0,0.0,0.0,0.0,0.0034574790731529783,0.0,0.0,0.0,0.0,0.0,0.0016984107727769015,0.0,0.0,0.0,0.0,0.0,0.0,0.07218245784301831,0.0,0.0,0.0,0.033968215455538034,0.1704476525536819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,03dRmajfr_antmovie200924195844,0.524673670805476,0.0,0.07858431497399979,0.0,0.0,0.0,0.0,0.0,0.03671866709115993,0.0,0.0,0.05651066539318688,0.0,0.0,0.07847819165870742,0.0,0.0,0.0,0.0,0.0,0.001591849729385546,0.0,0.009869468322190385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00196328133290884,0.0,0.0,0.0,0.0,0.0,0.004828610845802823,0.0,0.0032367611164172768,0.0,0.0,0.0,0.0,0.06850260002122466,0.0,0.0,0.0,0.07651491032579857,0.058527008383741905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,frightened_antmovie200927234327,0.5859205776173285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057220216606498196,0.0,0.0,0.09259927797833935,0.0,0.0,0.0,0.01227436823104693,0.0,0.006498194945848376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036101083032490976,0.0,0.0,0.0,0.0,0.0,0.0,0.00018050541516245486,0.0,0.0,0.007220216606498195,0.0,0.0,0.0,0.0,0.0,0.028339350180505415,0.0,0.0,0.0,0.0030685920577617327,0.0,0.0,0.07779783393501805,0.0,0.0,0.0,0.05938628158844765,0.06588447653429604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,03dBmidfr_antmovie200926203136,0.9771590838940676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019754305821346996,0.0,0.0,0.005247237483795296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007901722328538799,0.0,0.0,0.0,0.007654793505771962,6.173220569170936e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
