,Video File,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13,cluster14,cluster15,cluster16,cluster17,cluster18,cluster19,cluster20,cluster21,cluster22,cluster23,cluster24,cluster25,cluster26,cluster27,cluster28,cluster29,cluster30,cluster31,cluster32,cluster33,cluster34,cluster35,cluster36,cluster37,cluster38,cluster39,cluster40,cluster41,cluster42,cluster43,cluster44,cluster45,cluster46,cluster47,cluster48,cluster49,cluster50,cluster51,cluster52,cluster53,cluster54,cluster55,cluster56,cluster57,cluster58,cluster59,cluster60,cluster61,cluster62,cluster63,cluster64,cluster65,caste
10,05BOmajfd_antmovie200929205417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1989886972040452,0.0,0.0,0.24182034503271865,0.0,0.0,0.0,0.0,0.0,0.0074360499702558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004659924648026968,0.0,0.0,0.0,0.0,0.0,0.00019829466587348798,0.0,0.0,0.0,0.00198294665873488,0.0,0.0,0.14753123140987506,0.0,0.0,0.0,0.08853856831251239,0.3088439420979576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
11,07YTminfr_antmovie200928210913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14022140221402213,0.0,0.0,0.2961254612546125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03044280442804428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2269372693726937,0.0,0.0,0.0,0.01845018450184502,0.2878228782287823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
12,09OOminfr_antmovie200927212511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16042154566744732,0.0,0.0,0.3442622950819672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11943793911007025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055035128805620614,0.0,0.0,0.0,0.1861826697892272,0.13466042154566746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
13,03WPmajfd_antmovie201010201128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1768308574407089,0.0,0.0,0.19390148553557468,0.0,0.0,0.0,0.0,0.0,0.003909304143862392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02006776127182695,0.0,0.0,0.0,0.0,0.007427677873338545,0.0,0.0,0.0,0.0,0.0,0.0036486838676049,0.0,0.0,0.0,0.0,0.0,0.0,0.15506906437320825,0.0,0.0,0.0,0.07297367735209799,0.3661714881417774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
14,03dRmajfr_antmovie200924195844,0.0,0.16532708193793258,0.0,0.0,0.0,0.0,0.0,0.077249386023666,0.0,0.0,0.1188881446751507,0.0,0.0,0.1651038178164769,0.0,0.0,0.0,0.0,0.0,0.003348961821835231,0.0,0.020763563295378432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0041303862469301185,0.0,0.0,0.0,0.0,0.0,0.010158517526233537,0.0,0.006809555704398303,0.0,0.0,0.0,0.0,0.14411699039964276,0.0,0.0,0.0,0.16097343156954674,0.12313016298280867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
15,03dBmidfr_antmovie200926203136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08648648648648649,0.0,0.0,0.2297297297297297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.345945945945946,0.0,0.0,0.0,0.33513513513513515,0.0027027027027027033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
16,11RBminfr_antmovie200927221547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10666666666666667,0.0,0.0,0.38666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10666666666666667,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
17,08WWmidfd_antmovie200926223354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14629741119807346,0.0,0.0,0.21613485851896447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028296207104154127,0.0,0.0,0.0,0.0,0.0,0.008428657435279952,0.0,0.0,0.0,0.01143889223359422,0.0,0.0,0.2167369054786273,0.0,0.0,0.0,0.2390126429861529,0.1336544250451535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
18,02WGmidfd_antmovie201010194713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13962558502340094,0.0,0.0,0.2125585023400936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016770670826833072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17160686427457095,0.0,0.0,0.0,0.0577223088923557,0.4017160686427457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
19,06GRmidfd_antmovie201010211657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021739130434782608,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7608695652173914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17391304347826084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
